T_B_SCR,T_SCR_T1,T_SCR_T2,T_SCR_T3,T_SCR_T4,T_SCR_T5,T_A_SCR,,NO,NO2,N2O,H2O,NH3,,DTIUreaflowdmnd,DTIUreaflowsubm,,PTScrureamassflow,PTUreaflowdesired,,PTScrmassflow
?C,?C,?C,?C,?C,?C,?C,,ppm,ppm,ppm,ppm,ppm,,Real,Real,,Real,Real,,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,,Raw,Raw,Raw,Raw,Raw,,Raw,Raw,,Raw,Raw,,Raw
189.7104626,194.8090899,-271.5107821,195.4099873,197.3010381,-271.0875332,173.0658365,,159.1,7.09,7.28,0,0.18,,70,1,,70.6875,70,,18.6875
189.8258161,194.7398777,-271.5107821,195.2946604,197.254902,-271.0875332,173.0658365,,157.2,7.25,7.68,0,-0.18,,70,1,,70.6875,70,,18.71875
189.8488868,194.6937363,-271.5107821,195.2485296,197.0934256,-271.0875332,173.0427764,,157.2,7.25,7.68,0,-0.18,,70,1,,70,70,,18.6875
189.918099,194.6706656,-271.5107821,195.2254642,197.0703576,-271.0875332,173.0427764,,154.3,7.75,6.92,0,-0.17,,70,1,,70,70,,18.6875
189.918099,194.6475949,-271.5107821,195.1101372,197.0011534,-271.0875332,173.0427764,,157.2,6.39,6.82,0,0.04,,70,1,,70,70,,18.6875
189.918099,194.5783827,-271.5107821,195.0409411,196.816609,-271.0875332,173.0427764,,155.5,6.37,7.32,0,-0.35,,70,1,,70.6875,70,,18.75
189.918099,194.555312,-271.5107821,195.0178757,196.6782007,-271.0875332,173.0427764,,158.6,7.15,7.3,0,-0.15,,70,1,,69.4375,70,,18.71875
189.9642404,194.555312,-271.5107821,194.9486795,196.6551326,-271.0875332,173.0427764,,153.8,7.16,7.1,0,0.29,,70,1,,68.75,70,,18.71875
189.9411697,194.4630292,-271.5107821,194.8333526,196.5859285,-271.0875332,173.0427764,,157,7,7.58,0,0.06,,70,1,,69.4375,70,,18.71875
189.8488868,194.393817,-271.5107821,194.7872218,196.4475202,-271.0875332,173.0427764,,154.3,6.32,7.79,0,0.05,,70,1,,68.75,70,,18.71875
189.8258161,194.3707463,-271.5107821,194.7641564,196.355248,-271.0875332,173.0427764,,157.7,6.07,7.36,0,-0.05,,70,1,,68.75,70,,18.65625
189.8258161,194.3707463,-271.5107821,194.7180256,196.2399077,-271.0875332,173.0427764,,151.2,6.38,7.83,0,0.12,,70,1,,68.75,70,,18.6875
189.8258161,194.3476756,-271.5107821,194.625764,196.1245675,-271.0875332,173.0427764,,153,6.52,6.74,0,0.4,,70,1,,69.4375,70,,18.6875
189.8258161,194.3246049,-271.5107821,194.6026987,196.1014994,-271.0875332,173.0197164,,151.5,5.94,7.24,0,0.16,,70,1,,69.4375,70,,18.65625
189.8258161,194.3246049,-271.5107821,194.6026987,196.0553633,-271.0875332,173.0197164,,150.7,5.69,7.1,0,0.07,,70,1,,69.4375,70,,18.65625
189.8258161,194.3246049,-271.5107821,194.5335025,196.0322953,-271.0875332,173.0197164,,154.1,6.46,7.32,0,-0.2,,70,1,,70.03125,70,,18.6875
189.8719575,194.2553928,-271.5107821,194.4873717,195.8708189,-271.0875332,173.0197164,,152.3,5.28,7.14,0,-0.05,,70,1,,69.4375,70,,18.71875
189.8950283,194.2323221,-271.5107821,194.3951101,195.8477509,-271.0875332,173.0197164,,153.1,5.95,7.37,0,0.09,,70,1,,69.4375,70,,18.6875
189.8950283,194.2092514,-271.5107821,194.3489794,195.6862745,-271.0875332,173.0197164,,150.7,4.9,7.82,0,0.23,,70,1,,69.4375,70,,18.6875
189.8950283,194.1631099,-271.5107821,194.325914,195.6632065,-271.0875332,172.9735962,,146.5,6.24,7.53,0,0.06,,70,1,,69.4375,70,,18.6875
189.918099,194.1400392,-271.5107821,194.3028486,195.5709343,-271.0875332,172.9505361,,151.6,5.41,7.36,0,-0.25,,70,1,,69.4375,70,,18.6875
189.9411697,194.1169685,-271.5107821,194.2336524,195.5247982,-271.0875332,172.9505361,,147.7,5.52,7.96,0,-0.13,,70,1,,69.4375,70,,18.6875
189.9411697,194.0477564,-271.5107821,194.1644562,195.432526,-271.0875332,172.9505361,,146.6,6.01,7.71,0,0.32,,70,1,,69.4375,70,,18.6875
